Funct-name,Funct-desc
edimaint,EDI Control File Maintenance
crtrulerefer,Refer Ctrl For EDI Rules Maint.
genrlmnt,Generic EDI Rules Maintenance
blank,:
edi-alias,EDI Alias Trading Partner Maint.
edi-oe-maint,EDI Order Entry Ctrl Maintenance
blank,:
cp-edi-ctrl,Copy EDI Control Records
bc_lbl,Barcode Label Maintenance
lbltype.maint,Label Type Maintenance
custlbl.maint,Customer Barcode Label Maintenance
blank,:
edi.rules,EDI Rules
edi.registry,EDI Registry
blank,:
blank,:
blank,:
spool.maint,Modem Spooler Maintenance
bc_setup,Barcode Printer Setup
uploaddir,Upload Directory Maintenance
import,Import EDI to Sales Orders
edi.invoice,EDI 810 Invoice Outbound
poack,Purchase Order Acknowledgements
856-so-imp,Import Vendor ASN into Titan
conv.edi.so,Convert EDI into Titan SO's
blank,:
shipment.maint,ASN Shipment Header Maintenance
lblprt,Bar Code Print Function
fixordlnref,Fix Order Line References from 862
fa,Fixed Assets
fa.overview,Overview Menu
fa.log,Log On/Off
fa.maintenance,File Maintenance Menu
fa.transaction,Transaction Processing Menu
fa.report,Management Reporting Menu
fa.inquiry,Inquiry Menu
fa.system,System Management Menu
fa.technical,Technical Documentation Menu
fa.exec,Executive Reporter Menu
help,How To Get Help
help.inq,Help Choices
browse.zoom,Browse/Zoom Procedures
menu.inq,Display Available Menus
quit,Quit from PROGRESS. End of session
fa.exec,Executive Reporter Menu
fa.inquiry,Inquiry Menu
asset.inq,Asset Master Inquiry
book.inq,Asset Book Data Inquiry
tax1.inq,Asset Tax-1 Data Inquiry
tax2.inq,Asset Tax-2 Data Inquiry
fa.maintenance,File Maintenance Menu
fa.edit.mast,Master File Maintenance
fa.loc.edit,Location File Maintenance
fa.tax.edit,Tax Table Maintenance
fa.gl.edit,G/L Group Maintenance
fa.dep-table,Depreciation Table Maintenance
fa.cont.edit,Control File Maintenance
fa.sort1.edit,Sort Code-1 Maintenance
fa.sort2.edit,Sort Code-2 Maintenance
fa.vendor.edit,Vendor File Maintenance
fa.insurance,Asset Insurance File Maintenance
fa.bgt.maint,FA Budget Maintenance
fa.mastad,Master File Audit Trail
fa.loc.audit,Location File Audit Trail
fa.tax.audit,Tax Table Audit Trail
fa.gl.audit,Group Audit Trail
fa.cont.audit,Control File Audit Trail
fa.asort1,Sort Code-1 Audit Trail
fa.asort2,Sort Code-2 Audit Trail
ins.file.list,Insurance Policy Listing
fa.vendor.list,Vendor Listing
fa.overview,Overview Menu
methods,Accounting Considerations
benefits,System Benefits
features,System Features
fa.proced.flow,Procedural Flow
convert,Conversion Guide
fa.demo,Self-Paced F/A Demo
fa.report,Management Reporting Menu
fa.schedule,Master File List
fa.cy.addition,Current Year Additions
fa.cy.retire,Current Year Disposals
fa.book.value,Asset List With Book Value
fa.ledger,Asset Ledger: Book Depreciation
fa.ledger-tax1,Asset Ledger: Tax-1 Depreciation
fa.ledger-tax2,Asset Ledger: Tax-2 Depreciation
fa.sch,Fixed Asset Depreciation Schedules
fa.spreadsheet,Output Schedules To Spreadsheet
fa.busprop,Property Statement Support Report
fa-alt-min-tax,Print Schedule For Alt. Min. Tax
fa.detail.list,Detail Master Asset Listing
fa.analysis,ABC Analysis
fa.loc.list,Location List
fa.glmast.list,Group List
fa.tax-tables,Tax Table List
fa.tags,Print Asset Labels/Tags
fa.cont,Control File List
fa.gl.report,Distribution Report
sort1.list,Sort Code 1 List
sort2.list,Sort Code 2 List
fa.dep-tabt,Depreciation Table List
fa.system,System Management Menu
fa.post,Apply Journal Entries
fa.purge,Purge Sold Asset Data
fa.prd.close,Increment Login Period
fa.year-close,Reset For New Year
fa.interface,To G/L Interface
fa.distprg,Distribution Purge
asset-rev,Reverse Asset Entries
fa.technical,Technical Documentation Menu
fa.files,File Layouts
fa.source,Source Modules
fa.transaction,Transaction Processing Menu
fa.auto.calc,Auto-Calculate Depreciation/Update
fa.journal,Book Adjustment Entries
fa-jrnl-tax-1,Tax-1 Adjustment Entries
fa-jrnl-tax-2,Tax-2 Adjustment Entries
fa.midqrtr,Mid-Quarter Convention Check
fa.sale.asset,Retire Fixed Assets
fa.work.order,Generate Maintenance Work Orders
fa.budget.updt,FA Budget Update
fa.atran.list,Print Created Entries
fa.jrnl.list,Journal Entries List
fa.sale.audit,Retired Assets List
fa.print.wo,Print Maintenance Work Orders
fa.budget.list,FA Budget Listing
gl,GL General Ledger
gl.log,Log On/Off
gl.maintenance,G/L File Maintenance Menu
gl.transaction,Transaction Processing Menu
gl.report,Management Reporting Menu
gl.inquiry,Inquiry Menu
gl.system,System Management Menu
gl.inquiry,Inquiry Menu
gl.acct.inq,Chart of Accounts Inquiry
gl.hist.inq,Account Summaries/Budget Inquiry
gl.trans.inq,Transaction Inquiry
gl.entry.inq,Journal Entry Inquiry
fs.line.inq,Financial Statement Lines Inquiry
gl.maintenance,G/L File Maintenance Menu
chart.maint,Chart of Accounts Maintenance
chart.delete,Delete G/L Codes
chart.audit,Chart of Accounts Audit Trail
category.maint,Category Maintenance
category.audit,Category Audit Trail
gl.ctrl.maint,Control-File Maintenance
chart.list,Chart of Accounts List
category.list,Category List
gl.ctrl.list,Control-File List
gl.report,Management Reporting Menu
fs.headings,F/S Headings Maintenance
head.copy,F/S Headings Copy
fs.body,F/S Body Maintenance
body.copy,F/S Body Copy
budget.sheet,Budget Worksheet
budget.entry,Budget Entry
budget.entry,Budget Entry
general.ledger,General Ledger
fs.headlist,F/S Headings List
fs.bodylist,F/S Body List
fs.bodycheck,F/S Body By Account Ranges
fs.check,Check Financial Statement Format
fs.print,Print Financial Statements
fs.schedule,Print Expense Schedules
budget.list,Budget List
po.bgac,Redistribut reconciled receipts
po.spec,Non reconciled receipts report
gl.rpt.rr,financial stmt gen. over 10 column
budgvar,Budget Variance Report
genent,General Ledger Report By Entity
argener,GL report for AR only
general.year,GL Report for Previous Years
gl.system,System Management Menu
gl.stack.log,Stackable Log On/Off
close.prd,Close Fiscal Period
closing.entry,Generate Year-End Closing Entries
gl.purge,Purge General Ledger Details
close.year,Close Fiscal Year
gl.verify,Verify & Balance
inv.bridge,Inventory Bridge (Fix) Program
chart.purge,Chart of Accounts Purge
gl.ctrl.purge,Control-File Purge
gl.transaction,Transaction Processing Menu
journal.entry,Journal Entry
revers.entry,Reversing Journal Entry
recur.entry,Recurring Journal Entry Setup
auto.entry,Automatic Distribution Entry Setup
recur.apply,Apply Recurring/Automatic Entries
update.gl,Update General Ledger
trial.balance,Trial Balance Worksheet
journal.list,Journal List
revers.list,Reversing Journal List
recur.list,Recurring Journal List
auto.list,Automatic Distribution List
general.journ,General Journal
in,IN Inventory Management
in.log,Log On/Off
ep-maint,End Product Maintenance
itemlcost,EOY Capture of Last Cost
itemlcupd,EOY Last Cost Update
subkit.maint,Subkit Type Maintenance
itemstat.maint,Item Status Maint
reserve-brws,Item Never Reserve Browse
blank,:
item.maint2,Inventory Item Maintenance
itm-status-upd,Item Status Update
resetcnt,Reset Count Sheets - S Entity Only
chgsec,Change Inventory Screen Security
blank,:
harm.code,Harmonized Code Maintenance
update-reserve,Update Reserve LCM
blank,:
item-lot-conv,Convert Item to Lot Tracked
bc-item-lot,Reprint Item Lot Barcode
cust-whs-inv,Customer Warehouse Inventory
item.inquiry,Item Profile Inquiry
warehouse.inq,Item Warehouse Inquiry
quantity.inq,Item Warehouse Quantities Inquiry
usage.inq,Sales/Usage Statistics Inquiry
lot.inquiry,LIFO/FIFO Item Inquiry
serial.inquiry,Serialized Item Inquiry
in.dist.inq,Distribution Inquiry
kit.inquiry,Kit Inquiry
movement.inq,Inventory Movement Inquiry
movement.dtls,Inventory Movement Details
move.lot.inq,Inventory Movement - Serial/Lot
activity.inq,Item Warehouse Activity Inquiry
kardex.inq,Item Warehouse Kardex Inquiry
tax.auth.inq,Tax Authority Inquiry
price.brk.inq,Price break inquiry
xfer.req.inq,Warehouse Transfer Inquiry
trans.item.inq,Warehouse Transfer Item Inquiry
item.cost.inq,Item Standard/Level Cost Inquiry
in.mbinq,Item Qty and Location Inquiry
in.rdinq,R-DOCK Inventory Inquiry
shiphist.inq,Shipping History Inquiry
whsinq,Cross Entity Bin/Whs Inquiry
inqmbau,Transaction Register Bin Inquiry
trans.inq,Transaction register Inquiry
au0.scroll,Bin Audit with Scroll
itemlcqry,EOY Last Cost Inquiry
item.maint,Inventory Item Maintenance
uom.maint,Inventory UOM Maint.
group.maint,Inventory Product Group Maint.
reason.maint,Inventory Reason Maintenance
whs.maint,Inventory Warehouse Maintenance
tax.maint,Tax Authority Maintenance
sub.maint,Inventory Item Substitution Maint.
attrib.maint,Product Grp Attribute Maintenance
in.ctrl.maint,Control-File Maintenance
item.list,Inventory Item List
group.list,Inventory Product Group list
tax.list,Tax Authority List
in.audits,Audit Trails (All Others)
gl.maintenance,G/L File Maintenance Menu
wh.binmaint,Master Bin Location Maintenance
wh.multima,Bin to Item Maintenance
wh.mctrlma,Multi-bin Control File Maintenance
plates.maint,Screen Inventory Maintenance
plates.inq,Screen/Positive Inv Inquiry
positive.maint,Positive Storage Maintenance
altrpt,Alteration Change Report
prog.upd,Prog File Maintenance
prog.purg,Prog File Purge
in.valuation,Inventory Valuation Report
stock.report,Stock Status Report
in.aging,Inventory Aging Report
lot.report,Lot Tracking Report for Medical
itemlcrpt,Zero Last Cost on EOY Capture Rpt
au0,Bin Audit
inlcm-rpt,Inventory LCM Report
inv.adj.rpt,Inventory Adjustment Report
in.stack.log,Stackable Log On/Off
ppsvia,Update PPS Ship-via
cost.update,Item Cost Update
update.uom,Correct Item UOM-Codes
in.mbtempprg,Purge Temporary Multibins
in.mbauprg,Purge Multibin Movement Records
tran.purge,Purge Transaction Register
change.item,Change Item Entity
change.cust,Change Customer Entity
stock.transfer,One Step Stock Whs Transfer
req.whs.trans,Request Warehouse Transfer
alloc.whs.tran,Allocate Warehouse Transfer
print.transfer,Print Transfer Pick List
ship.stock,Ship Stock
receive.stock,Receive Stock
receive.wip,Receive Stock From Work-In-Process
issue.wip,Issue Stock To Work-In-Process
stock.adjust,Stock Adjustment
trans.jrnl,Inventory Transactions Journal
mv-rd,Move Inventory from R-DOCK to bins
wh.multiadj,Adjust Item Qty's in Bins
wh.rdock-move,Move Items from R-DOCK to Bins
cost.adjust,Adjust Cost (All Warehouses)
count.sheets,Physical Count Worksheets
count.entry,Physical Count Entry
count.report,Physical Count Report
missing.sheets,Missing Count Sheets Report
in.variance,Inventory Variance Report
update.stock,Update Physical Inventory
stock.jrnl,Physical Inventory Journal
wh.mbinitem,Bin Quantities by Item report
wh.mbinrpt,Report of Item Quantities by bin
count.audit,Auditor's Count Report
in.countags,Physical Count Labels
count.sheets,Physical Count Worksheets
blank.count,Blank Count Sheets
in.countags,Physical Count Labels
blank,:
count.entry,Physical Count Entry
count.report,Physical Count Report
count.audit,Auditor's Count Report
in.variance,Inventory Variance Report
blank,:
update.stock,Update Physical Inventory
